trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[0/328][1/578] prediction done | time : 0.03s
[0/328][2/578] prediction done | time : 0.00s
[0/328][3/578] prediction done | time : 0.00s
[0/328][4/578] prediction done | time : 0.01s
[0/328][5/578] prediction done | time : 0.01s
[0/328][6/578] prediction done | time : 0.01s
[0/328][7/578] prediction done | time : 0.01s
[0/328][8/578] prediction done | time : 0.01s
[0/328][9/578] prediction done | time : 0.01s
[0/328][10/578] prediction done | time : 0.02s
[0/328][11/578] prediction done | time : 0.02s
[0/328][12/578] prediction done | time : 0.02s
[0/328][13/578] prediction done | time : 0.02s
[0/328][14/578] prediction done | time : 0.02s
[0/328][15/578] prediction done | time : 0.02s
[0/328][16/578] prediction done | time : 0.02s
[0/328][17/578] prediction done | time : 0.03s
[0/328][18/578] prediction done | time : 0.03s
[0/328][19/578] prediction done | time : 0.03s
[0/328][20/578] prediction done | time : 0.03s
[0/328][21/578] prediction done | time : 0.03s
[0/328][22/578] prediction done | time : 0.03s
[0/328][23/578] prediction done | time : 0.03s
[0/328][24/578] prediction done | time : 0.04s
[0/328][25/578] prediction done | time : 0.04s
[0/328][26/578] prediction done | time : 0.04s
[0/328][27/578] prediction done | time : 0.04s
[0/328][28/578] prediction done | time : 0.04s
[0/328][29/578] prediction done | time : 0.04s
[0/328][30/578] prediction done | time : 0.04s
[0/328][31/578] prediction done | time : 0.05s
[0/328][32/578] prediction done | time : 0.05s
[0/328][33/578] prediction done | time : 0.05s
[0/328][34/578] prediction done | time : 0.05s
[0/328][35/578] prediction done | time : 0.05s
[0/328][36/578] prediction done | time : 0.05s
[0/328][37/578] prediction done | time : 0.05s
[0/328][38/578] prediction done | time : 0.05s
[0/328][39/578] prediction done | time : 0.06s
[0/328][40/578] prediction done | time : 0.06s
[0/328][41/578] prediction done | time : 0.06s
[0/328][42/578] prediction done | time : 0.06s
[0/328][43/578] prediction done | time : 0.06s
[0/328][44/578] prediction done | time : 0.06s
[0/328][45/578] prediction done | time : 0.07s
[0/328][46/578] prediction done | time : 0.07s
[0/328][47/578] prediction done | time : 0.07s
[0/328][48/578] prediction done | time : 0.07s
[0/328][49/578] prediction done | time : 0.07s
[0/328][50/578] prediction done | time : 0.07s
[0/328][51/578] prediction done | time : 0.08s
[0/328][52/578] prediction done | time : 0.08s
[0/328][53/578] prediction done | time : 0.08s
[0/328][54/578] prediction done | time : 0.08s
[0/328][55/578] prediction done | time : 0.08s
[0/328][56/578] prediction done | time : 0.08s
[0/328][57/578] prediction done | time : 0.08s
[0/328][58/578] prediction done | time : 0.08s
[0/328][59/578] prediction done | time : 0.09s
[0/328][60/578] prediction done | time : 0.09s
[0/328][61/578] prediction done | time : 0.09s
[0/328][62/578] prediction done | time : 0.09s
[0/328][63/578] prediction done | time : 0.09s
[0/328][64/578] prediction done | time : 0.09s
[0/328][65/578] prediction done | time : 0.09s
[0/328][66/578] prediction done | time : 0.10s
[0/328][67/578] prediction done | time : 0.10s
[0/328][68/578] prediction done | time : 0.10s
[0/328][69/578] prediction done | time : 0.10s
[0/328][70/578] prediction done | time : 0.10s
[0/328][71/578] prediction done | time : 0.10s
[0/328][72/578] prediction done | time : 0.10s
[0/328][73/578] prediction done | time : 0.10s
[0/328][74/578] prediction done | time : 0.11s
[0/328][75/578] prediction done | time : 0.11s
[0/328][76/578] prediction done | time : 0.11s
[0/328][77/578] prediction done | time : 0.11s
[0/328][78/578] prediction done | time : 0.11s
[0/328][79/578] prediction done | time : 0.11s
[0/328][80/578] prediction done | time : 0.11s
[0/328][81/578] prediction done | time : 0.11s
[0/328][82/578] prediction done | time : 0.12s
[0/328][83/578] prediction done | time : 0.12s
[0/328][84/578] prediction done | time : 0.12s
[0/328][85/578] prediction done | time : 0.12s
[0/328][86/578] prediction done | time : 0.12s
[0/328][87/578] prediction done | time : 0.12s
[0/328][88/578] prediction done | time : 0.12s
[0/328][89/578] prediction done | time : 0.13s
[0/328][90/578] prediction done | time : 0.13s
[0/328][91/578] prediction done | time : 0.13s
[0/328][92/578] prediction done | time : 0.13s
[0/328][93/578] prediction done | time : 0.13s
[0/328][94/578] prediction done | time : 0.13s
[0/328][95/578] prediction done | time : 0.14s
[0/328][96/578] prediction done | time : 0.14s
[0/328][97/578] prediction done | time : 0.14s
[0/328][98/578] prediction done | time : 0.14s
[0/328][99/578] prediction done | time : 0.14s
[0/328][100/578] prediction done | time : 0.14s
[0/328][101/578] prediction done | time : 0.14s
[0/328][102/578] prediction done | time : 0.14s
[0/328][103/578] prediction done | time : 0.15s
[0/328][104/578] prediction done | time : 0.15s
[0/328][105/578] prediction done | time : 0.15s
[0/328][106/578] prediction done | time : 0.15s
[0/328][107/578] prediction done | time : 0.15s
[0/328][108/578] prediction done | time : 0.15s
